Product_ID,Product_Name,Product_Group,Primary_Category,Street_Address,Locality,Region,Mailing_Address,Postal_Code,Website,Facebook,Twitter,Latitude,Longitude,
900315788,Cheam Fishing Village and Campground,Accommodation,Accom - Campground/RV Parks,630 Appel Road,Agassiz,Vancouver Coast & Mountains,630 Appel Rd,V0M1A2,https://www.cheamfishingvillage.com/,,,49.21448,-121.7532,
900315669,Hyatt Place Kelowna,Accommodation,Accom - Hotel,1915 Enterprise Way,Kelowna,Thompson Okanagan,1915 Enterprise Way,V1Y9S9,https://tinyurl.com/wwpujjpb,,,49.88391,-119.4537,
900306199,Southside Lodge,Accommodation,Accom - Hostel,2102 Lake Placid Rd,Whistler,Vancouver Coast & Mountains,2102 Lake Placid Rd (P.O. Box 1232),V0N1B2,http://whistlerremoteoffices.com/southside,,,50.09468,-122.9935,
4542019,Ainsworth Hot Springs Suites - Guest House,Accommodation,Accom - Cabin/Cottage,3620 Hwy 31,Ainsworth Hot Springs,Kootenay Rockies,3620 Highway 31,V0G1A0,https://www.ainsworthsprings.com/,,,49.73482,-116.9102,
900306024,Pacific Gateway Wilderness Lodge,Accommodation,Accom - Cabin/Cottage;Accom - Resort,8 Michelsens Ln,Bamfield,Vancouver Island,8 Michelsens Lane,V0R1B0,https://www.pacificgatewaylodge.com/,,,48.83745,-125.1408,
900306135,Tyee Village Motel,Accommodation,Accom - Motel,4151 Redford St,Port Alberni,Vancouver Island,4151 Redford St,V9Y4Z2,http://www.tyeemotel.com/,,,49.24565,-124.7962,
900306030,Queens Hotel - New Westminster,Accommodation,Accom - Hotel,1110 Ewen Ave,New Westminster,Vancouver Coast & Mountains,130-1110 Ewen Ave,V3M5E4,http://www.queenshotel.ca,,,49.18449,-122.9497,
900306068,Salt Spring Inn,Accommodation,Accom - Hotel,132 Lower Ganges Rd,Salt Spring Island,Vancouver Island,132 Lower Ganges Rd,V8K2S9,http://www.saltspringinn.com,,,48.85371,-123.5003,
4540104,Deere Ridge Cabins & B&B,Accommodation,Accom - B&B,468 Lakeview Road,Invermere,Kootenay Rockies,474 Lakeview Rd,V0A1K3,https://deereridge.com/,,,50.50849,-116.0143,
900306149,Mountain Hound Inn,Accommodation,Accom - Hotel,621 Baker St,Nelson,Kootenay Rockies,621 Baker St,V1L4J3,https://www.facebook.com/profile.php?id=100063525642263,,,49.49294,-117.2924,
4541614,Puntledge RV Campground & Nim Nim Interpretive Centre,Accommodation,Accom - Campground/RV Parks,4624 Condensory Rd,Courtenay,Vancouver Island,4624 Condensory Rd,V9J1R6,https://puntledgerv.com/,,,49.69617,-125.012,
900306157,Cranbrook/St Eugene KOA,Accommodation,Accom - Campground/RV Parks,7777 Mission Road,Cranbrook,Kootenay Rockies,7777 Mission Rd,V1C7E5,https://koa.com/campgrounds/cranbrook/,,,49.58727,-115.7548,
900306160,Legacy Acres B&B,Accommodation,Accom - B&B,458 Johnson St,Oliver,Thompson Okanagan,458 Johnson Cres,V0H1T5,https://www.facebook.com/legacyacresestate/,,,49.26026,-119.5894,
900305994,Nootka Island Lodge,Accommodation,Accom - Resort;Transport - Boat Charters,1104 Wharf Street,Nootka Island,Vancouver Island,Nootka,V8W1T9,http://www.nootkaislandlodge.com,,,49.62496,-126.6238,
900306162,High Country Inn (Likely),Accommodation,Accom - Hotel,6252 Cedar Creek Rd,Likely,Cariboo Chilcotin Coast,6252 Cedar Creek Rd,V0L1N0,https://www.facebook.com/likelyhighcountryinn/,https://www.facebook.com/likelyhighcountryinn/,https://twitter.com/likelyhci,52.61118,-121.5489,
900306189,Maple Grove Guest House,Accommodation,Accom - B&B,3800 Gibbins Rd,Duncan,Vancouver Island,3800 Gibbins Rd,V9L6E8,http://www.maplegroveguesthouse.ca/,,,48.77608,-123.7645,
4539595,Siesta Suites,Accommodation,Accom - Hotel;Accom - Motel,3152 Lakeshore Rd,Kelowna,Thompson Okanagan,3152 Lakeshore Rd,V1W3T1,http://www.siestasuiteskelowna.com,http://www.facebook.com/SiestaSuitesKelowna,https://twitter.com/#!/SiestaKelowna,49.86018,-119.4913,
4539599,Econo Lodge Inn & Suites Kelowna,Accommodation,Accom - Hotel,1070 Harvey Ave,Kelowna,Thompson Okanagan,1070 Harvey Ave at Gordon Drive,V1Y8S4,https://www.econolodgekelowna.com/,https://www.facebook.com/KelownaInnandSuites,,49.88408,-119.4777,
4539332,Ocean Promenade Hotel,Accommodation,Accom - Hotel,15611 Marine Dr,White Rock,Vancouver Coast & Mountains,15611 Marine Dr,V4B1E1,http://www.oceanpromenadehotel.com,,,49.0168,-122.7898,
4580878,Old Cowboy Ranch,Accommodation,Accom - Campground/RV Parks;Accom - Guest Ranch,3175 Hwy 33,Westbridge,Thompson Okanagan,3175 Highway 33,V0H2B0,http://oldcowboyranch.com/,https://www.facebook.com/oldcowboyranch,,49.19542,-118.9905,
4563656,Sandman Hotel & Suites Squamish,Accommodation,Accom - Motel,39400 Discovery Way,Squamish,Vancouver Coast & Mountains,Sandman 39400 Discovery Way,V8B0R5,https://www.sandmanhotels.com/locations/british-columbia/squamish/hotels/squamish-squ,http://www.facebook.com/sandmanhotelgroup,http://twitter.com/sandmanhotels,49.7255,-123.1499,
4541180,Sun Beach Motel,Accommodation,Accom - Motel,7303 Main St,Osoyoos,Thompson Okanagan,7303 Main St,V0H1V3,http://sun-beach-motel.edan.io/,,,49.02803,-119.4528,
4562037,Mountain Spirit Resort,Accommodation,Accom - Motel,400 Stemwinder Dr,Kimberley Alpine Resort,Kootenay Rockies,400 Stemwinder Drive,V1A2Y5,http://mountainspiritresort.ca/,https://www.facebook.com/MountainSpiritResort,,49.69038,-116.0047,
4563416,Best Western Plus Kamloops Hotel,Accommodation,Accom - Hotel;Accom - Motel,660 Columbia St W,Kamloops,Thompson Okanagan,660 Columbia St West,V2C1L1,http://www.bestwesternkamloops.com,https://www.facebook.com/bestwesternkamloops,https://twitter.com/BWkamloops,50.67184,-120.355,
4582761,Crown Mansion Boutique Hotel & Villas,Accommodation,Accom - Hotel,292 Crescent Rd East,Qualicum Beach,Vancouver Island,292 Crescent Rd E,V9K0A5,http://www.crownmansion.com,http://www.facebook.com/CrownMansion,http://www.twitter.com/CrownMansionQB,49.35437,-124.4336,
4541835,Oceanside Village Resort,Accommodation,Accom - Cabin/Cottage,1080 Resort Dr,Parksville,Vancouver Island,1080 Resort Dr,V9P2E3,http://www.oceansidevillageresort.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=mybusiness,http://www.facebook.com/Oceansidevillageresort,,49.31379,-124.2716,
4541831,Desert Surfside Waterfront Accommodations,Accommodation,Accom - Motel;Accom - Cabin/Cottage,7310 Main Street,Osoyoos,Thompson Okanagan,7310 Main Street,V0H1V0,http://www.surfside-osoyoos.com,,,49.02903,-119.4538,
4580986,Pineacre on the Lake,Accommodation,Accom - B&B,7220 Okanagan Hwy,Peachland,Thompson Okanagan,7220 Highway 97 South,V0H1X9,http://www.pineacreonthelake.com,https://www.facebook.com/pineacreonthelake,,49.71632,-119.7588,
4552618,The Beach Club Resort,Accommodation,Accom - Motel,181 Beachside Dr,Parksville,Vancouver Island,181 Beachside Drive,V9P2H5,http://www.beachclubbc.com/,http://www.facebook.com/beachclubresort,http://twitter.com/beachclubresort,49.32253,-124.3154,
4539896,Harbour House Hotel on Salt Spring Island,Accommodation,Accom - Hotel,121 Upper Ganges Rd,Ganges,Vancouver Island,121 Upper Ganges Rd,V8K2S2,http://www.saltspringharbourhouse.com,http://www.facebook.com/saltspringharbourhousehotel,,48.85907,-123.5024,
4539677,Lakeview Motel & Suites,Accommodation,Accom - Motel,6004 - 89th St,Osoyoos,Thompson Okanagan,6004 89th St,V0H1V1,http://www.osoyooslakeview.ca/,,,49.02391,-119.4703,
900012899,La Rosetta B&B,Accommodation,Accom - B&B,106 Hoylake Rd E,Qualicum Beach,Vancouver Island,106 Hoylake Rd E,V9K1L7,http://larosetta.ca,,,49.35105,-124.4433,
4587550,Chetwynd Pomeroy Inn & Suites,Accommodation,Accom - Motel,5200 North Access Rd,Chetwynd,Northern British Columbia,5200 North Access Road Box 756,V0C1J0,http://www.pomeroyinnandsuites.com/hotels-chetwynd,https://www.facebook.com/PomeroyInnAndSuites,,55.69828,-121.6347,
4587584,Pomeroy Inn & Suites Fort St. John,Accommodation,Accom - Motel,9320 Alaska Rd,Fort St. John,Northern British Columbia,9320 Alaska Rd,V1J6L5,https://pomeroyinnandsuites.com/fort-st-john/,https://www.facebook.com/PomeroyInnAndSuites,,56.2345,-120.8349,
900012833,Stillwater Beach House B&B,Accommodation,Accom - B&B,12417 Scotch Fir Point Road,Saltery Bay,Vancouver Coast & Mountains,12417 Scotch Fir Point Rd,V8A0M6,http://stillwaterbeachhousebnb.ca/,,,49.75746,-124.2917,
4580802,The Orchard RV Retreat,Accommodation,Accom - Campground/RV Parks;Accom -Campground / RV Parks,4391 Eyles Road,Lake Country,Thompson Okanagan,4391 Eyles Rd,V4V2A7,http://theorchardrv.ca,https://www.facebook.com/TheOrchardRVRetreat,,50.06871,-119.3769,
4582852,Jags Beanstalk,Accommodation,Accom - B&B,100 Hwy 16,Skidegate,Northern British Columbia,100 Highway 16 (1mile North of BC Ferry Landing),V0T1S1,http://www.jagsbeanstalk.com,,,53.25582,-131.9911,
900012990,Tallheo Cannery Guest House & Inner Coast Tours,Accommodation,Accom - B&B;Accom -Campground / RV Parks,Box 334,Bella Coola,Cariboo Chilcotin Coast,Across North Bentinck Arm from Bella Coola,V0T1C0,http://www.bellacoolacannery.com,,,52.38959,-126.8349,
4539770,Tantalus Resort Lodge,Accommodation,Accom - Hotel,4200 Whistler Way,Whistler,Vancouver Coast & Mountains,4200 Whistler Way,V0N1B4,http://www.tantaluslodge.com/,,,50.11085,-122.9596,
4581796,Hotel Zed - Tofino,Accommodation,Accom - Hotel,1258 Pacific Rim Hwy,Tofino,Vancouver Island,1258 Pacific Rim Highway,V0R2Z0,https://www.hotelzed.com/,,,49.12193,-125.8888,
4545358,Ruckle Provincial Park,Accommodation,Accom - Parks - Provincial;A&A - Activities,off Beaver Point Rd,Salt Spring Island,Vancouver Island,off Beaver Point Rd,V8K1M3,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/ruckle/,http://www.facebook.com/YourBCParks,,48.78407,-123.4111,
4540503,Greenwood Motel & RV Park,Accommodation,Accom - Motel;Accom - Campground/RV Parks;Accom -Campground / RV Parks,256 North Copper Ave,Greenwood,Thompson Okanagan,256 North Copper Avenue Highway 3,V0H1J0,http://www.greenviewmotel.com,https://www.facebook.com/Greenviewmotel.com,,49.09565,-118.6768,
4581063,The Flying Steamshovel,Accommodation,Accom - Cabin/Cottage,2003 2 Ave,Rossland,Kootenay Rockies,2003 2nd Ave,V0G1Y0,http://www.theflyingsteamshovel.com,https://www.facebook.com/pages/The-Flying-Steamshovel/55626497633,,49.07919,-117.7996,
4539767,Mountainside Lodge - A Shell Vacations Resort,Accommodation,Accom - Hotel,4417 Sundial Pl,Whistler,Vancouver Coast & Mountains,4417 Sundial Pl,V0N1B4,https://www.extraholidays.com/whistler-british-columbia/mountainside-lodge?Identifier=psearch&hotelid=95814&utm_medium=referral&utm_source=google.com-local&utm_campaign=yext&utm_content=mountainsidelodge,,,50.11447,-122.954,
4582727,Beachside by the Bay,Accommodation,Accom - Cabin/Cottage,5005 Sunshine Coast Hwy,Sechelt,Vancouver Coast & Mountains,5005 Sunshine Coast Hwy Davis Bay,V0N3A2,http://www.beachsidebythebay.com,https://www.facebook.com/BeachsideByTheBayWaterfrontSuites,https://twitter.com/beachsidesuites,49.45423,-123.7342,
4539697,DoubleTree by Hilton Kamloops,Accommodation,Accom - Hotel;Accom - Motel,339 Saint Paul Street,Kamloops,Thompson Okanagan,339 St Paul St,V2C2J5,http://kamloops.doubletree.com,https://www.facebook.com/doubletreekamloops/,,50.67383,-120.3332,
4580359,Lac Le Jeune Wilderness Resort,Accommodation,Accom - Cabin/Cottage,5485 Lac Le Jeune Rd,Lac Le Jeune,Thompson Okanagan,5485 Lac Le Jeune Rd,V1S1A1,http://laclejeuneliving.com,http://www.facebook.com/lac le jeune wilderness resort,http://twitter.com/@lljwilderness,50.56156,-120.4336,
4539217,"The Westin Bear Mountain Golf Resort & Spa, Victoria",Accommodation,Accom - Hotel;A&A - Activities;Golf - Golf Course,110-2800 Bryn Maura Road,Victoria,Vancouver Island,1999 Country Club Way,V9B3T4,https://www.marriott.com/hotels/travel/yyjwi-the-westin-bear-mountain-golf-resort-and-spa-victoria/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_MTcxNTAxNi03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D,https://www.facebook.com/TheWestinBearMountainResort/,http://twitter.com/bearmountain,48.47773,-123.5305,
4598107,Airport Inn Motel & RV Park,Accommodation,Accom - Motel;Accom - Campground/RV Parks,3101 Highway 97 North,Quesnel,Cariboo Chilcotin Coast,3101 Hwy 97 N,V2J5Y8,http://www.airportinnrv.com/,https://www.facebook.com/airport.inn.quesnel,,53.00852,-122.5079,
4539534,Chilcotin Lodge,Accommodation,Accom - B&B;Accom - Campground/RV Parks,1080 Stack Valley Rd,Riske Creek,Cariboo Chilcotin Coast,1080 Stack Valley Road,V0L1T0,http://www.thehistoricchilcotinlodge.com,chilcotinLodge,,52.02706,-122.5285,
4539571,Monte Carlo Motel,Accommodation,Accom - Motel,4380 Hwy 5,Barriere,Thompson Okanagan,4380 Highway 5 Box 941,V0E1E0,https://www.montecarlomotelbarrierebc.com/,https://www.facebook.com/pages/Monte-Carlo-Motel-Barriere-BC/182695915134005,,51.17399,-120.1285,
4554027,Mountain Springs Motel & RV Park,Accommodation,Accom - Motel;Accom - Campground/RV Parks;Accom -Campground / RV Parks,4253 Hwy 5,Barriere,Thompson Okanagan,4253 Yellowhead Highway,V0E1E0,http://www.mountainspringsmotel.ca/,,,51.17111,-120.1269,
4539570,Y-5 Motel & Campground,Accommodation,A&A - Activities;Accom -Campground / RV Parks,4325 Yellowhead Hwy,Barriere,Thompson Okanagan,4325 Yellowhead Hwy,V0E1E0,http://www.y5motel.com/,,,51.17036,-120.1269,
4540891,Cedars Inn - Zeballos,Accommodation,Accom - Motel,203 Pandora Ave,Zeballos,Vancouver Island,203 Pandora Ave,V0P2A0,http://www.zeballosexpeditions.com/accommodation.html,@CedarsInnZeballos,,49.98713,-126.8449,
4541419,Super 8 by Wyndham Lake Country/Winfield Area,Accommodation,Accom - Hotel;Accom - Motel,9564 Hwy 97N (Winfield),Lake Country,Thompson Okanagan,9564 Highway 97 North,V4V1T7,https://www.wyndhamhotels.com/super-8/lake-country-british-columbia/super-8-lake-country-winfield-area/overview?CID=LC:SE::GGL:RIO:National:15200&iata=00065402,,,50.02085,-119.4069,
4539610,Holiday Park Resort,Accommodation,Accom - Campground/RV Parks,1 - 415 Commonwealth Rd,Kelowna,Thompson Okanagan,Holiday Park Resort - Rv Sites 1-415 Commonwealth Rd,V4V1P4,http://www.sweetlife.com,http://www.facebook.com/Holidayparkresort.thesweetlife,http://twitter.com/HolidayPkResort,50.00776,-119.3932,
4539712,White Sands Resort Cottages,Accommodation,Accom - Cabin/Cottage;Accom -Cabin / Cottage,1295 Dieppe Rd,Sorrento,Thompson Okanagan,1295 Dieppe Road,V0E2W0,http://www.whitesandscottages.com/,,,50.87952,-119.4656,
