,amenity
0,bank
1,cafe
2,fast_food
3,restaurant
4,parking_entrance
5,pub
6,fuel
7,school
8,pharmacy
9,dentist
10,doctors
11,public_building
12,post_office
13,atm
14,childcare
15,bar
16,ice_cream
17,bus_station
18,community_centre
19,library
20,bicycle_rental
21,clinic
22,public_bookcase
23,university
24,dojo
25,kindergarten
26,ferry_terminal
27,cinema
28,theatre
29,recycling
30,drinking_water
31,car_rental
32,bicycle_parking
33,bench
34,toilets
35,veterinary
36,post_box
37,post_depot
38,vending_machine
39,bureau_de_change
40,clock
41,car_wash
42,nightclub
43,animal_boarding
44,place_of_worship
45,arts_centre
46,social_facility
47,prep_school
48,college
49,food_court
50,parking
51,motorcycle_parking
52,charging_station
53,boat_rental
54,fountain
55,social_centre
56,police
57,fire_station
58,conference_centre
59,gambling
60,marketplace
61,karaoke_box
62,music_school
63,family_centre
64,townhall
65,studio
66,training
67,courthouse
68,spa
69,waste_basket
70,meditation_centre
71,bistro
72,language_school
73,events_venue
74,healthcare
75,hookah_lounge
76,internet_cafe
77,driving_school
78,disused:restaurant
79,casino
80,waste_disposal
81,science
82,workshop
83,safety
84,lobby
85,animal_shelter
86,car_sharing
87,storage_rental
88,atm;bank
89,shelter
90,dance
91,housing co-op
92,parcel_locker
93,research_institute
94,monastery
95,nursing_home
96,Observation Platform
97,water_point
98,dive_centre
99,laboratory
100,cooking_school
101,money_transfer
102,telephone
103,waste_transfer_station
104,construction
105,toy_library
106,animal_training
107,lounge
108,hospital
109,give_box
110,weighbridge
111,bicycle_repair_station
112,motorcycle_rental
113,leisure
114,parking_space
115,prison
116,Activities_Attractions
117,Accommodation
